epoch: 1950, e_loss: 384.98, d_loss: 24.37
epoch: 1960, e_loss: 383.11, d_loss: 24.37
epoch: 1970, e_loss: 392.69, d_loss: 24.38
epoch: 1980, e_loss: 383.80, d_loss: 24.38
epoch: 1990, e_loss: 385.45, d_loss: 24.38
epoch: 2000, e_loss: 383.56, d_loss: 24.39
epoch: 2010, e_loss: 364.00, d_loss: 24.39
epoch: 2020, e_loss: 412.43, d_loss: 24.39
epoch: 2030, e_loss: 413.85, d_loss: 24.39
epoch: 2040, e_loss: 398.15, d_loss: 24.39
epoch: 2050, e_loss: 376.35, d_loss: 24.40
epoch: 2060, e_loss: 352.81, d_loss: 24.39
epoch: 2070, e_loss: 398.98, d_loss: 24.40
epoch: 2080, e_loss: 369.67, d_loss: 24.40
epoch: 2090, e_loss: 389.86, d_loss: 24.40
epoch: 2100, e_loss: 411.64, d_loss: 24.41
epoch: 2110, e_loss: 423.97, d_loss: 24.41
epoch: 2120, e_loss: 382.57, d_loss: 24.40
epoch: 2130, e_loss: 402.32, d_loss: 24.41
epoch: 2140, e_loss: 375.59, d_loss: 24.41
epoch: 2150, e_loss: 414.76, d_loss: 24.41
epoch: 2160, e_loss: 386.23, d_loss: 24.42
epoch: 2170, e_loss: 379.77, d_loss: 24.42
epoch: 2180, e_loss: 387.96, d_loss: 24.42
epoch: 2190, e_loss: 428.89, d_loss: 24.42
epoch: 2200, e_loss: 406.66, d_loss: 24.42
epoch: 2210, e_loss: 393.02, d_loss: 24.42
epoch: 2220, e_loss: 376.04, d_loss: 24.42
epoch: 2230, e_loss: 381.90, d_loss: 24.42
epoch: 2240, e_loss: 393.32, d_loss: 24.43
epoch: 2250, e_loss: 398.15, d_loss: 24.43
epoch: 2260, e_loss: 377.55, d_loss: 24.43
epoch: 2270, e_loss: 435.50, d_loss: 24.43
epoch: 2280, e_loss: 429.91, d_loss: 24.44
epoch: 2290, e_loss: 417.25, d_loss: 24.43
epoch: 2300, e_loss: 373.94, d_loss: 24.44
epoch: 2310, e_loss: 408.91, d_loss: 24.43
epoch: 2320, e_loss: 432.77, d_loss: 24.44
epoch: 2330, e_loss: 388.84, d_loss: 24.44
epoch: 2340, e_loss: 405.46, d_loss: 24.44
epoch: 2350, e_loss: 424.19, d_loss: 24.44
epoch: 2360, e_loss: 405.06, d_loss: 24.44
epoch: 2370, e_loss: 395.84, d_loss: 24.45
epoch: 2380, e_loss: 396.32, d_loss: 24.45
epoch: 2390, e_loss: 414.03, d_loss: 24.45
epoch: 2400, e_loss: 381.39, d_loss: 24.45
epoch: 2410, e_loss: 438.45, d_loss: 24.45
epoch: 2420, e_loss: 411.06, d_loss: 24.45
epoch: 2430, e_loss: 407.54, d_loss: 24.45
epoch: 2440, e_loss: 403.08, d_loss: 24.45
epoch: 2450, e_loss: 395.67, d_loss: 24.45
epoch: 2460, e_loss: 387.90, d_loss: 24.46
epoch: 2470, e_loss: 440.81, d_loss: 24.46
epoch: 2480, e_loss: 407.84, d_loss: 24.46
epoch: 2490, e_loss: 437.78, d_loss: 24.46
epoch: 2500, e_loss: 408.25, d_loss: 24.46
epoch: 2510, e_loss: 425.75, d_loss: 24.46
epoch: 2520, e_loss: 375.97, d_loss: 24.46
epoch: 2530, e_loss: 384.24, d_loss: 24.46
epoch: 2540, e_loss: 405.57, d_loss: 24.47
epoch: 2550, e_loss: 395.50, d_loss: 24.47
epoch: 2560, e_loss: 387.68, d_loss: 24.47
epoch: 2570, e_loss: 405.90, d_loss: 24.47
epoch: 2580, e_loss: 382.05, d_loss: 24.47
epoch: 2590, e_loss: 422.34, d_loss: 24.47
epoch: 2600, e_loss: 433.30, d_loss: 24.47
epoch: 2610, e_loss: 412.87, d_loss: 24.48
epoch: 2620, e_loss: 445.86, d_loss: 24.48
epoch: 2630, e_loss: 409.42, d_loss: 24.48
epoch: 2640, e_loss: 430.13, d_loss: 24.48
epoch: 2650, e_loss: 403.98, d_loss: 24.48
epoch: 2660, e_loss: 391.06, d_loss: 24.48
epoch: 2670, e_loss: 419.31, d_loss: 24.48
epoch: 2680, e_loss: 436.66, d_loss: 24.48
epoch: 2690, e_loss: 426.49, d_loss: 24.49
epoch: 2700, e_loss: 393.77, d_loss: 24.49
epoch: 2710, e_loss: 384.20, d_loss: 24.49
epoch: 2720, e_loss: 424.31, d_loss: 24.49
epoch: 2730, e_loss: 421.86, d_loss: 24.49
epoch: 2740, e_loss: 403.93, d_loss: 24.49
epoch: 2750, e_loss: 425.70, d_loss: 24.49
epoch: 2760, e_loss: 403.99, d_loss: 24.49
epoch: 2770, e_loss: 429.18, d_loss: 24.49
epoch: 2780, e_loss: 436.97, d_loss: 24.50
epoch: 2790, e_loss: 403.11, d_loss: 24.50
epoch: 2800, e_loss: 416.08, d_loss: 24.50
epoch: 2810, e_loss: 430.23, d_loss: 24.50
epoch: 2820, e_loss: 449.55, d_loss: 24.50
epoch: 2830, e_loss: 417.11, d_loss: 24.50
epoch: 2840, e_loss: 429.93, d_loss: 24.50
epoch: 2850, e_loss: 385.81, d_loss: 24.51
epoch: 2860, e_loss: 415.34, d_loss: 24.51
epoch: 2870, e_loss: 430.99, d_loss: 24.51
epoch: 2880, e_loss: 431.96, d_loss: 24.51
epoch: 2890, e_loss: 389.66, d_loss: 24.51
epoch: 2900, e_loss: 424.57, d_loss: 24.51
epoch: 2910, e_loss: 410.69, d_loss: 24.51
epoch: 2920, e_loss: 387.10, d_loss: 24.51
epoch: 2930, e_loss: 410.54, d_loss: 24.51
epoch: 2940, e_loss: 435.50, d_loss: 24.51
epoch: 2950, e_loss: 419.86, d_loss: 24.52
epoch: 2960, e_loss: 443.61, d_loss: 24.52
epoch: 2970, e_loss: 400.67, d_loss: 24.52
epoch: 2980, e_loss: 418.78, d_loss: 24.52
epoch: 2990, e_loss: 413.39, d_loss: 24.52
epoch: 3000, e_loss: 424.58, d_loss: 24.52
epoch: 3010, e_loss: 403.71, d_loss: 24.52
epoch: 3020, e_loss: 421.75, d_loss: 24.52
epoch: 3030, e_loss: 425.91, d_loss: 24.52
epoch: 3040, e_loss: 425.82, d_loss: 24.52
epoch: 3050, e_loss: 424.77, d_loss: 24.53
epoch: 3060, e_loss: 429.70, d_loss: 24.53
epoch: 3070, e_loss: 422.07, d_loss: 24.53
epoch: 3080, e_loss: 422.86, d_loss: 24.53
epoch: 3090, e_loss: 421.88, d_loss: 24.53
epoch: 3100, e_loss: 404.00, d_loss: 24.53
epoch: 3110, e_loss: 428.17, d_loss: 24.53
epoch: 3120, e_loss: 433.29, d_loss: 24.53
epoch: 3130, e_loss: 444.47, d_loss: 24.53
epoch: 3140, e_loss: 410.31, d_loss: 24.53
epoch: 3150, e_loss: 405.66, d_loss: 24.53
epoch: 3160, e_loss: 450.31, d_loss: 24.54
epoch: 3170, e_loss: 393.16, d_loss: 24.54
epoch: 3180, e_loss: 412.05, d_loss: 24.54
epoch: 3190, e_loss: 413.66, d_loss: 24.54
epoch: 3200, e_loss: 431.35, d_loss: 24.54
epoch: 3210, e_loss: 396.16, d_loss: 24.54
epoch: 3220, e_loss: 404.44, d_loss: 24.54
epoch: 3230, e_loss: 402.99, d_loss: 24.54
epoch: 3240, e_loss: 417.06, d_loss: 24.54
epoch: 3250, e_loss: 437.71, d_loss: 24.55
